"rental_id","customer_name","phone","email","movie","rental_date","return_date","overdue"
14098,"Dwayne Olvera","62127829280","dwayne.olvera@sakilacustomer.org","Academy Dinosaur","2005-08-21 00:30:32",NULL,"5252 days 19:10:00.268848"
13421,"Brandon Huey","99883471275","brandon.huey@sakilacustomer.org","Ace Goldfinger","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
15542,"Carmen Owens","272234298332","carmen.owens@sakilacustomer.org","Affair Prejudice","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
15458,"Seth Hannon","864392582257","seth.hannon@sakilacustomer.org","African Egg","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
15294,"Tracy Cole","371490777743","tracy.cole@sakilacustomer.org","Ali Forever","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
12988,"Marcia Dean","727785483194","marcia.dean@sakilacustomer.org","Alone Trip","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
12786,"Cecil Vines","879347453467","cecil.vines@sakilacustomer.org","Amadeus Holy","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
13428,"Marie Turner","177727722820","marie.turner@sakilacustomer.org","American Circus","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
14915,"Joe Gilliland","53912826864","joe.gilliland@sakilacustomer.org","Amistad Midsummer","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
12574,"Edward Baugh","46568045367","edward.baugh@sakilacustomer.org","Armageddon Lost","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
13952,"Beth Franklin","470884141195","beth.franklin@sakilacustomer.org","Baked Cleopatra","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
14374,"Gina Williamson","584316724815","gina.williamson@sakilacustomer.org","Bang Kwai","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
15441,"Melvin Ellington","368284120423","melvin.ellington@sakilacustomer.org","Basic Easy","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
12064,"Sonia Gregory","195003555232","sonia.gregory@sakilacustomer.org","Berets Agent","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
15497,"Florence Woods","330838016880","florence.woods@sakilacustomer.org","Blade Polish","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
13182,"Tyler Wren","211256301880","tyler.wren@sakilacustomer.org","Blanket Beverly","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
12489,"Mildred Bailey","250767749542","mildred.bailey@sakilacustomer.org","Boogie Amelie","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
12277,"Anna Hill","911872220378","anna.hill@sakilacustomer.org","Boulevard Mob","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
15021,"Robin Hayes","942570536750","robin.hayes@sakilacustomer.org","Bound Cheaper","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
12902,"Lois Butler","345679835036","lois.butler@sakilacustomer.org","Bubble Grosse","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
11646,"Lisa Anderson","635297277345","lisa.anderson@sakilacustomer.org","Bull Shawshank","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
12144,"Sergio Stanfield","387448063440","sergio.stanfield@sakilacustomer.org","Camelot Vacation","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
13798,"Helen Harris","990911107354","helen.harris@sakilacustomer.org","Candidate Perdition","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
15577,"Angela Hernandez","18461860151","angela.hernandez@sakilacustomer.org","Canyon Stock","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
13538,"Dianne Shelton","117592274996","dianne.shelton@sakilacustomer.org","Cat Coneheads","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
15655,"Willie Markham","296394569728","willie.markham@sakilacustomer.org","Center Dinosaur","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
14741,"Mildred Bailey","250767749542","mildred.bailey@sakilacustomer.org","Chamber Italian","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
12352,"Gail Knight","904253967161","gail.knight@sakilacustomer.org","Chasing Fight","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
13965,"Gary Coy","168884817145","gary.coy@sakilacustomer.org","Chitty Lock","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
13178,"Chris Brothers","537374465982","chris.brothers@sakilacustomer.org","Cincinatti Whisperer","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
14516,"Bill Gavin","924663855568","bill.gavin@sakilacustomer.org","Cleopatra Devil","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
12141,"Peggy Myers","196568435814","peggy.myers@sakilacustomer.org","Club Graffiti","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
13079,"Florence Woods","330838016880","florence.woods@sakilacustomer.org","Club Graffiti","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
11593,"Emily Diaz","333339908719","emily.diaz@sakilacustomer.org","Connection Microcosmos","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
15867,"Rafael Abney","82671830126","rafael.abney@sakilacustomer.org","Conversation Downhill","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
12524,"Barry Lovelace","689681677428","barry.lovelace@sakilacustomer.org","Creatures Shakespeare","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
12716,"Ivan Cromwell","203804046132","ivan.cromwell@sakilacustomer.org","Creatures Shakespeare","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
11909,"Dustin Gillette","131912793873","dustin.gillette@sakilacustomer.org","Crooked Frogmen","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
15717,"Lucy Wheeler","49677664184","lucy.wheeler@sakilacustomer.org","Curtain Videotape","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
15234,"Allison Stanley","594319417514","allison.stanley@sakilacustomer.org","Cyclone Family","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
15094,"Kyle Spurlock","736517327853","kyle.spurlock@sakilacustomer.org","Dances None","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
15862,"Jessie Banks","352679173732","jessie.banks@sakilacustomer.org","Dances None","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
15167,"Yolanda Weaver","352469351088","yolanda.weaver@sakilacustomer.org","Day Unfaithful","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
15813,"Margaret Moore","380657522649","margaret.moore@sakilacustomer.org","Deep Crusade","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
13161,"Annette Olson","230250973122","annette.olson@sakilacustomer.org","Deer Virginian","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
12746,"Stacey Montgomery","408304391718","stacey.montgomery@sakilacustomer.org","Details Packer","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
15710,"Lee Hawks","270456873752","lee.hawks@sakilacustomer.org","Detective Vision","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
14604,"Perry Swafford","914466027044","perry.swafford@sakilacustomer.org","Devil Desire","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
14318,"Milton Howland","441628280920","milton.howland@sakilacustomer.org","Disciple Mother","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
15532,"Sarah Lewis","902731229323","sarah.lewis@sakilacustomer.org","Divine Resurrection","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
13333,"Judith Cox","333489324603","judith.cox@sakilacustomer.org","Doors President","2006-02-14 15:16:03",NULL,"5075 days 04:24:29.268848"
